,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
97,UgyhbiDmUB8mHR02YX94AaABAg.9xQpstv60A49xT89w30XGP,it sound good true be sure legit,1 month ago,@caitlinmclaren2695,UCFqRQgypiv6rfmlWPit3wCg,0,https://yt3.ggpht.com/ytc/AIf8zZR_3Kj-GNaNBFh9S9xBl5RRzoU8t894l4dSm6u3cw=s176-c-k-c0x00ffffff-no-rj,False,True,1702779233.841677
98,Ugz4kCZohJNXkFZRmhB4AaABAg.9xRWD82kPRl9xT69sGtxyL,what mean,1 month ago,@alehandromerkel7108,UC0ltZRHZ4wep7PXaFPbczog,0,https://yt3.ggpht.com/2BHaLjwHOQTfiPjgYZ47mN1aALvy5KbYB_NaIr7_RhlQ83oHyqajjYNJJ907Vqc01Oqo_xItGA=s176-c-k-c0x00ffffff-no-rj,False,True,1702779234.066172
99,UgwbV54raboVDR2TsLF4AaABAg.9xawnKYUway9xjgcCgbmR_,to bank purchase price value,1 month ago,@GY6SCOOTERCHAT,UCqaetarRK4eJTEWXXWZFFSA,0,https://yt3.ggpht.com/p4SBajO-jXIyh3dXvWUA0wz7OHQxke5qm0pf8LbJw7sUlySoHjjnjLqa___7sBcmcpeaz-hs6g=s176-c-k-c0x00ffffff-no-rj,False,True,1702779234.282161
100,Ugza0nBcnz4oWecOF2V4AaABAg.9xf6ogM_o5L9xkL5COYgMl,happy share lender information reference video just reach team,1 month ago,@RentToRetirement,UC_h1lnz1kM75Gj79VV8QtEg,0,https://yt3.ggpht.com/4r48relcULJPr61jgu7Vckc04c5UZ2eIMQ4737C1HVXPVWtU0zAkXluKyySCY9tZ7q_QDtZAc-M=s176-c-k-c0x00ffffff-no-rj,False,True,1702779234.556624
101,UgyKdB_w9EXGsROEQZ54AaABAg.9xuFJzZn3lU9xyWPnRiZos,happy share,1 month ago,@RentToRetirement,UC_h1lnz1kM75Gj79VV8QtEg,0,https://yt3.ggpht.com/4r48relcULJPr61jgu7Vckc04c5UZ2eIMQ4737C1HVXPVWtU0zAkXluKyySCY9tZ7q_QDtZAc-M=s176-c-k-c0x00ffffff-no-rj,False,True,1702779234.768676
102,UgyhtBTplEp2fBD3pSJ4AaABAg,rob interruptive interview,1 month ago,@AMIRSARDAR13,UCqGjj-5_g5kpAdZuaNj9q-Q,0,https://yt3.ggpht.com/ytc/AIf8zZTS8XnEP6ONhXcBp913dRJfvJWkC_P8sAMGfw=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.081709
103,UgxTLt1ja3TuVpQPbnV4AaABAg,your BEARD be look good DAVID,1 month ago,@CECE21574,UCfp_jr6rl15H2uUbXtO4vrQ,0,https://yt3.ggpht.com/ytc/AIf8zZQRlGNpdHVTRLM8voO6AN9s2HgM613FW6RJohqH1dhqGQ=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.08273
104,UgxflufxrjBAtPyoRxV4AaABAg,what credit union,1 month ago,@DanielRicany,UCqouL6voC6LwbTi0w_np86A,0,https://yt3.ggpht.com/ytc/AIf8zZTrdKBQ5JSuGOmXW_55Mo2DM39bASPcPLq1pw=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.083702
105,UgwwPZJG3BEnBJ4iqRt4AaABAg,Butt double,1 month ago,@nicolematherne1608,UC2VI0WU9nf__2E7sUgWuNaQ,0,https://yt3.ggpht.com/ytc/AIf8zZQZgzZ8vd1Wp3uUcMN8y8L3nMNmffHPSS5raZkt=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.084696
106,UgyWsH_ryt56ue_9ExJ4AaABAg,how I listen toy pod cast,1 month ago,@wabajack8250,UC1MdzvzkI77XeAdrExMwTpQ,0,https://yt3.ggpht.com/ytc/AIf8zZS7mituX5CeXXbYSYr3Z1ExX5178YHKN-RjEnCTVyZWS8mrEpAAquwop5PeFSlL=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.085722
107,UgxbXLbQGp-VKl-itDp4AaABAg,what french toast u guy talk have u ever hear private asset base lender multis under company name u unlimited multis almost qualification conventional dead scaling multis,1 month ago,@justsayin5177,UCvy6jKA6AYsDojAmF7UrGYg,0,https://yt3.ggpht.com/ytc/AIf8zZSMxDvxsEuhYWlQ9x1vJhA2OiXK_nupyvlprmvvmQ=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.086718
108,Ugx2sZnFkBI1ygRiAdR4AaABAg,hey David,1 month ago,@Just_Samson,UCytFikCZgq0IBDlt9SgRPSA,0,https://yt3.ggpht.com/ytc/AIf8zZQI22TuDAgac576x-PUsQS5Z3sy9uRATgFnsUFCOw=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.087686
109,UgxH5yZjvTSc52ILP194AaABAg,3 interest loan property worth like 20082012 50 stuck hold bag end,1 month ago,@top1cat01,UCIrx6Gg3EIJd7MztwSZIK7w,0,https://yt3.ggpht.com/ytc/AIf8zZTRmeRKZ5F81rZ8UBqHJ_ab8l0VstBOYIHc0g=s176-c-k-c0x00ffffff-no-rj,False,False,1702779235.088708
